,URL,title,BERT,predicted_class,h0,h1,h2,h3,score,classe
48,https://www.wsj.com/video/browse/business/economy?mod=nav_top_subsection,Economy Video,0.946898813,0,0,1,1,0,2.173449407,0
49,https://www.wsj.com/news/types/capital-account?mod=nav_top_subsection,Capital Account,0.314541871,0,0,1,1,0,1.857270936,0
50,https://www.wsj.com/news/business?mod=nav_top_section,Business,0.564079624,0,0,1,1,0,1.982039812,0
51,https://www.wsj.com/news/business/management?mod=nav_top_subsection,Management,0.810595961,0,0,1,1,0,2.105297981,0
52,https://www.wsj.com/news/tech/future-of-everything?mod=nav_top_subsection,The Future of Everything,0.55445338,0,1,1,1,0,2.67722669,1
53,https://www.wsj.com/news/types/obituaries?mod=nav_top_subsection,Obituaries,0.978901215,0,0,1,1,0,2.189450608,0
54,https://www.wsj.com/news/technology?mod=nav_top_subsection,Tech/WSJ.D,0.945848112,0,0,1,1,0,2.172924056,0
55,https://www.wsj.com/news/business/defense-aerospace?mod=nav_top_subsection,Aerospace & Defense,0.091366212,0,0,1,1,0,1.745683106,0
56,https://www.wsj.com/news/business/transportation?mod=nav_top_subsection,Autos & Transportation,0.758958577,0,0,1,1,0,2.079479289,0
57,https://www.wsj.com/news/markets/real-estate-commercial?mod=nav_top_subsection,Commercial Real Estate,0.15866424,0,0,1,1,0,1.77933212,0
58,https://www.wsj.com/news/business/consumer-products?mod=nav_top_subsection,Consumer Products,0.741624681,0,0,1,1,0,2.07081234,0
59,https://www.wsj.com/news/business/energy-oil-gas?mod=nav_top_subsection,Energy,0.999803099,0,0,1,1,0,2.19990155,0
60,https://www.wsj.com/news/business/small-business-marketing?mod=nav_top_subsection,Entrepreneurship,0.702453397,0,0,1,1,0,2.051226698,0
61,https://www.wsj.com/news/business/financial-services?mod=nav_top_subsection,Financial Services,0.517491768,0,0,1,1,0,1.958745884,0
62,https://www.wsj.com/news/business/food-tobacco?mod=nav_top_subsection,Food & Services,0.875245219,0,0,1,1,0,2.137622609,0
63,https://www.wsj.com/news/business/health-industry?mod=nav_top_subsection,Health Care,0.41433846,0,0,1,1,0,1.90716923,0
64,https://www.wsj.com/news/business/hotels-casinos?mod=nav_top_subsection,Hospitality,0.147991594,0,0,1,1,0,1.773995797,0
65,https://www.wsj.com/news/business/industrial-services?mod=nav_top_subsection,Manufacturing,0.992183838,0,0,1,1,0,2.196091919,0
66,https://www.wsj.com/news/business/media-marketing?mod=nav_top_subsection,Media & Marketing,0.43817162,0,0,1,1,0,1.91908581,0
67,https://www.wsj.com/news/business/natural-resources?mod=nav_top_subsection,Natural Resources,0.354748349,0,0,1,1,0,1.877374175,0
68,https://www.wsj.com/news/business/retail-industry?mod=nav_top_subsection,Retail,0.052633572,0,0,1,1,0,1.726316786,0
69,https://www.wsj.com/news/cfo-journal?mod=nav_top_subsection,CFO Journal,0.404639047,0,0,1,1,0,1.902319524,0
70,https://www.wsj.com/news/cio-journal?mod=nav_top_subsection,CIO Journal,0.945227583,0,0,1,1,0,2.172613791,0
71,https://www.wsj.com/news/cmo-today?mod=nav_top_subsection,CMO Today,0.455085923,0,0,1,1,0,1.927542961,0
72,https://www.wsj.com/news/logistics-report?mod=nav_top_subsection,Logistics Report,0.002411814,0,0,1,1,0,1.701205907,0
73,https://www.wsj.com/news/risk-compliance-journal?mod=nav_top_subsection,Risk & Compliance,0.041865233,0,0,1,1,0,1.720932617,0
74,https://www.wsj.com/news/workplace-report?mod=nav_top_subsection,The Workplace Report,0.266484191,0,0,1,1,0,1.833242096,0
75,https://www.wsj.com/news/heard-on-the-street?mod=nav_top_subsection,Heard on the Street,0.605252419,0,1,1,1,0,2.70262621,0
76,https://www.wsj.com/pro/artificial-intelligence?mod=nav_top_subsection,Artificial Intelligence,0.494933658,0,0,1,1,0,1.947466829,0
77,https://www.wsj.com/pro/cybersecurity?mod=nav_top_subsection,Cybersecurity,0.662831096,0,0,1,1,0,2.031415548,0
78,https://www.wsj.com/pro/sustainable-business?mod=nav_top_subsection,Sustainable Business,0.58017162,0,0,1,1,0,1.99008581,0
79,https://www.wsj.com/video/browse/business?mod=nav_top_subsection,Business Video,0.959877705,0,0,1,1,0,2.179938853,0
80,https://www.wsj.com/news/latest/journalreport?mod=nav_top_subsection,Journal Report,0.593977093,0,0,1,1,0,1.996988547,0
81,https://www.wsj.com/news/science?mod=nav_top_subsection,Space & Science,0.831384317,0,0,1,1,0,2.115692158,0
82,https://www.wsj.com/news/technology?mod=nav_top_section,Tech,0.416465879,0,0,1,1,0,1.90823294,0
83,https://www.wsj.com/news/types/personal-technology-joanna-stern?mod=nav_top_subsection,Personal Tech,0.327902041,0,0,1,1,0,1.863951021,0
84,https://www.wsj.com/news/author/christopher-mims?mod=nav_top_subsection,Christopher Mims,0.401547154,0,0,1,1,0,1.900773577,0
85,https://www.wsj.com/news/author/joanna-stern?mod=nav_top_subsection,Joanna Stern,0.434663929,0,0,1,1,0,1.917331965,0
86,https://www.wsj.com/news/author/julie-jargon?mod=nav_top_subsection,Julie Jargon,0.08990638,0,0,1,1,0,1.74495319,0
87,https://www.wsj.com/news/author/nicole-nguyen?mod=nav_top_subsection,Nicole Nguyen,0.233263477,0,0,1,1,0,1.816631739,0
88,https://www.wsj.com/video/browse/tech?mod=nav_top_subsection,Tech Video,0.748502175,0,0,1,1,0,2.074251088,0
89,https://www.wsj.com/podcasts/latest/wsj-tech-news-briefing?mod=nav_top_subsection,Tech Podcast,0.22540332,0,0,1,1,0,1.81270166,0
90,https://www.wsj.com/news/markets?mod=nav_top_section,Markets,0.623512192,0,0,1,1,0,2.011756096,0
91,https://www.wsj.com/news/markets/bonds?mod=nav_top_subsection,Bonds,0.362217733,0,0,1,1,0,1.881108867,0
